"photographer","contribution count"
"Saviantonio, Vinicio","7"

"Silberman Galleries","7"

"Vermard, Georges","7"

"Vernacci Ruiz, Joaquin","7"

"Alivernini, Eraldo","6"

"Barsotti, Ferdinando","6"

"Benvenuti, Cesare","6"

"Browns","6"

"Ehm, Josef","6"

"Engman, Anders","6"

"Foto Wells","6"

"IRPA-KIK Institut royal du Patrimoine artistique-Koninklijk Instituut voor het Kunstpatrimonium","6"

"Ideal Foto Cine di Colacioppo","6"

"Institut Mainini","6"

"Lombardi","6"

"Mazzanti, Paolo","6"

"Museum of Fine Arts Saint Petersburg","6"

"Photographische Gesellschaft Berlin","6"

"Princeton University Art Museum","6"

"Studio Fotografico AS","6"

"Studio fotografico Orlandini","6"

"Weston, Sam","6"

"Benedetti, Silvestro","5"

"Bern�s, Marouteau et Compagnie","5"

"Blomstrann, E. Irving","5"

"Bucci, R.","5"

"Camponogara, J.","5"

"Cushing, George M.","5"

"Da Re, Umberto","5"

"Dall'Armi, Gian Carlo","5"

"Deutsche Fotothek","5"

"Foto-Studio H. Humm","5"

"Fototeca della Soprintendenza per i beni storici, artistici ed etnoantropologici del Piemonte","5"

"French and Co.","5"

"Guido, Giovanni","5"

"Heaton, Wallace","5"

"Laboratorio Fotografico Corso","5"

"Liechtenstein Museum, Wien","5"

"North Carolina Museum of Art","5"

"Offner, Mortimer","5"

"Ottavianelli, Franco","5"

"Piccardy, Charles","5"

"Pollitzer, Eric","5"

"Raffaelli, Luigi","5"

"Shepard, Myron S.","5"

"Solar Aircraft Company","5"

"Staatliche Kunstsammlungen Dresden","5"

"Strossmayerova Galerija starih majstora","5"

"Taylor and Dull","5"

"The Wallace Collection","5"

"Vannini, Carlo","5"

"Anders, J�rg P.","4"

"Archivio Fotografico Scala","4"

"Archivio fotografico della Soprintendenza per i beni storici, artistici ed etnoantropologici per le province di Parma e Piacenza","4"

"Brusa, Giovanni Battista","4"

"Carboni, C.","4"

"Carbonora","4"

"Charles Smith Studio","4"

"Como, Giorgio","4"

"Danesi","4"

"Fiorucci, Carlo","4"

"Fototecnica Fortunati","4"

"Franzosi, Tita","4"

"Hymers, Robert Patterson","4"

"Joslyn Art Museum","4"

"La Fototecnica","4"

"Malenotti, Gino","4"

"Martin-von-Wagner-Museum der Universit�t W�rzburg","4"

"Moreno","4"

"Nelson-Atkins Museum of Art","4"

"Nieders�chsische Landesgalerie","4"

"Obert, Karl","4"

"Oto, Maximilian","4"

"Piaget","4"

"Quiresi, Ezio","4"

"Randazzo","4"

"Scherb, Julius","4"

"Schmidt, Otto","4"

"Sciamanna, Umberto","4"

"Scott, Tom","4"

"Studio d'arte Palma","4"

"Sunami, Soichi","4"

"The Clowes Fund, Fine Arts Department","4"

"Tomba, Umberto","4"

"Universit� di Pisa. Dipartimento di Storia delle Arti","4"

"Wadsworth Atheneum Museum of Art","4"

"Zangheri, Giampiero","4"

"Archivio fotografico della Soprintendenza per i Beni Architettonici e Paesaggistici per le province di Roma, Frosinone, Latina, Rieti e Viterbo","3"

"Baker, Oliver","3"

"Balogh, Rudolf","3"

"Barber Institute of Fine Arts, University of Birmingham","3"

"Barzacchi, Cesare","3"

"Bonhams","3"

"Bottega d'Arte","3"

"Brenwasser, Donald","3"

"Burloni","3"

"Carnegie Museum of Art","3"

"Castagneri, Mario","3"

"Ceccato, A.","3"

"Centre de recherche et de restauration des mus�es de France","3"

"Ciacchi, Leonello","3"

"Cincinnati Art Museum","3"

"Cordes, Paul","3"

"Corradini, L.","3"

"D'Amico, Fratelli","3"

"De Antonis, Riccardo","3"

"De Vogelaere, A.","3"

"De Wan Studios","3"

"Dingjan, A.","3"

"Elsner & Son","3"

"Fabbri, Teodoro","3"

"Fini, Giuseppe","3"

"Foto Dalmazio","3"

"Foto Ferruzzi","3"

"Foto Ottica Ciocci","3"

"Fotohaus am Dom","3"

"Galleria Bellini","3"

"Gatti, Dario","3"

